Obteniendo ofertas de servicios...
OK
ID                                                                   Nombre                                                     Proveedor                           Etiquetas   
efc44e05-4faa-43f2-a8a3-4795f31ddfa5                                 precision-location                                         Skyhook                             gc_migrate,ibm_dedicated_public,ibm_third_party,internet_of_things   
5278836c-9e56-4198-be3c-8b11e07c6aa2                                 prod-ibmoperationsanalytics                                IBM                                 dev_ops,ibm_experimental   
3eb2d5a0-24ff-11eb-9437-631d7272fff5                                 px-backup                                                  Portworx Inc.                       blockchain,containers,databases,ibm_third_party,migration_tools,platform_services,rc_compatible,security,storage,supports_syndication   
42e97f08-c40d-b09d-e4af-7fd4d079915a                                 quantum-services                                           IBM                                 compute,free,ibm quantum,ibm_created,lite,qiskit,quantum,quantum computing   
bc1f8800-0ee2-43ca-864b-1e29ce4fd8fd                                 quovo                                                      Quovo                               dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
135ead7e-cc70-4f10-8f2c-6e6c6821ce61                                 rainbow                                                    AL-International                    dev_ops,gc_migrate,ibm_dedicated_public,ibm_third_party   
cf5f8ac0-98f7-11e9-a40c-5b3c4bf3cc6d                                 raxak-protect                                              Cloud Raxak, Inc.                   ibm_release,ibm_third_party,rc_compatible,security,supports_syndication   
467ab6d8-48dd-485a-adf9-30d5107537a1                                 real-time-payments-service                                 IBM                                 finance,gc_migrate,ibm_created,ibm_experimental   
3c4e5912-59dc-40b7-a482-25c6c6d38ccc                                 relsci                                                     Relationship Science LLC            dev_ops,finance,gc_migrate,ibm_dedicated_public,ibm_third_party   
8d08ed75-b71d-4d1a-a4c4-f17ead5c1954                                 risk-engine                                                dacadoo AG                          dev_ops,gc_migrate,ibm_dedicated_public,ibm_third_party,private   
c14c9e07-7039-44a7-8eed-c508135829ac                                 rocket-mainframe-data                                      Rocket Software                     gc_migrate,ibm_dedicated_public,ibm_third_party,integration   
arb-e7c6e157-46fc-4efd-b1cb-7283f03c689a                             runbookautomation                                          IBM                                 dev_ops,gc_migrate,ibm_created,ibm_dedicated_public,ibm_deprecated,ibm_experimental   
